0.0000 	0.4328 	0.4376 	1.0000 	0.2523 	0.3518 	0.0097 	0.3086 	0.0000 	0.0000 	1
0.0047 	0.2836 	0.4752 	0.8018 	0.3333 	0.5214 	0.0773 	0.2230 	0.0000 	0.0000 	1
0.0094 	0.2208 	0.4211 	0.7906 	0.3894 	0.5679 	0.0628 	0.2184 	0.0000 	0.0000 	1
0.0141 	0.2858 	0.3729 	0.8218 	0.3115 	0.5000 	0.0918 	0.2593 	0.0000 	0.0000 	1
0.0188 	0.2752 	0.3820 	0.8062 	0.2960 	0.5839 	0.0886 	0.2454 	0.0000 	0.0000 	1
0.0235 	0.2112 	0.3098 	0.8040 	0.4143 	0.5643 	0.1031 	0.2454 	0.0000 	0.5098 	1
0.0282 	0.2757 	0.3865 	0.8018 	0.2648 	0.5857 	0.0934 	0.2546 	0.0000 	0.0000 	1
0.0329 	0.2814 	0.3639 	0.8040 	0.2368 	0.6125 	0.0918 	0.2612 	0.0000 	0.0000 	1
0.0376 	0.3525 	0.4977 	0.7973 	0.3364 	0.4054 	0.0902 	0.2667 	0.0000 	0.0000 	1
0.0423 	0.2809 	0.3414 	0.8018 	0.3333 	0.5679 	0.0918 	0.2760 	0.0000 	0.2157 	1
0.0469 	0.2002 	0.2992 	0.7706 	0.3956 	0.6054 	0.1079 	0.2472 	0.0000 	0.4706 	1
0.0516 	0.2845 	0.3113 	0.8151 	0.3053 	0.5714 	0.0966 	0.2909 	0.0000 	0.0000 	1
0.0563 	0.2081 	0.3233 	0.7639 	0.3458 	0.6196 	0.1111 	0.2435 	0.0000 	0.4706 	1
0.0610 	0.2779 	0.3203 	0.7929 	0.3053 	0.6071 	0.0870 	0.2742 	0.0000 	0.3333 	1
0.0657 	0.2845 	0.2827 	0.7996 	0.3178 	0.6214 	0.0934 	0.2853 	0.0000 	0.0000 	1
0.0704 	0.2836 	0.3128 	0.7884 	0.2928 	0.6125 	0.0934 	0.2751 	0.0000 	0.0000 	1
0.0751 	0.2937 	0.2932 	0.8174 	0.2710 	0.5893 	0.0982 	0.3039 	0.0000 	0.0000 	1
0.0798 	0.4745 	0.5459 	0.8575 	0.1869 	0.2768 	0.0242 	0.3457 	0.0000 	0.0000 	1
0.0845 	0.3494 	0.4767 	0.8307 	0.2773 	0.4125 	0.0097 	0.3216 	0.0000 	0.0000 	1
